Number,,Labels,Title,Date,URL
2672,Validation Layers,bug,VK_EXT_debug_utils implementation has threading bug(s),2018-05-11,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2672
2670,Validation Layers,bug,Validation layers print errors when creating a device using supported device features from extensions,2018-05-11,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2670
2669,Validation Layers,,Using the new subgroup extensions in Vulkan 1.1 causes validation error,2018-05-11,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2669
2667,Validation Layers,,CMake errors building LVL,2018-05-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2667
2665,Validation Layers,enhancement,Validate non-attachment uses of attachment image memory,2018-05-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2665
2661,Validation Layers,bug,Validation Layer warning for geometry shaders with the VK_NV_geometry_shader_passthrough extension enabled,2018-05-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2661
2660,Validation Layers,incomplete,"Releasing a fence, whose payload has been exported to an external handle using reference transference and later imported to >=1 fences, does not trigger any warning",2018-05-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2660
2658,Validation Layers,bug,VK_IMAGE_CREATE_EXTENDED_USAGE_BIT not referenced in VU checks,2018-05-08,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2658
2657,Validation Layers,"enhancement, tests",Script to summarize CI test results across all device profiles,2018-05-08,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2657
2654,Validation Layers,enhancement,VK_EXT_debug_utils - missing object names in cases where they could be added,2018-05-08,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2654
2653,Validation Layers,bug,Incorrect image layer validation with secondary command buffers,2018-05-08,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2653
2648,Validation Layers,incomplete,Add validation support for VK_ANDROID_external_memory_android_hardware_buffer,2018-05-04,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2648
2646,Validation Layers,incomplete,Code-Gen all implicit VUs,2018-05-04,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2646
